"","asolliq","bgas","cothergas","dhss","edrown","fgunexp","gknives","hjump","iother","Sum"
"10-15",4,0,0,247,1,17,1,6,9,285
"15-20",348,7,67,578,22,179,11,74,175,1461
"20-25",808,32,229,699,44,316,35,109,289,2561
"25-30",789,26,243,648,52,268,38,109,226,2399
"30-35",916,17,257,825,74,291,52,123,281,2836
"35-40",1118,27,313,1278,87,293,49,134,268,3567
"40-45",926,13,250,1273,89,299,53,78,198,3179
"45-50",855,9,203,1381,71,347,68,103,190,3227
"50-55",684,14,136,1282,87,229,62,63,146,2703
"55-60",502,6,77,972,49,151,46,66,77,1946
"60-65",516,5,74,1249,83,162,52,92,122,2355
"65-70",513,8,31,1360,75,164,56,115,95,2417
"70-75",425,5,21,1268,90,121,44,119,82,2175
"75-80",266,4,9,866,63,78,30,79,34,1429
"80-85",159,2,2,479,39,18,18,46,19,782
"85-90",70,1,0,259,16,10,9,18,10,393
"90+",18,0,1,76,4,2,4,6,2,113
"10-15",28,0,3,20,0,1,0,10,6,68
"15-20",353,2,11,81,6,15,2,43,47,560
"20-25",540,4,20,111,24,9,9,78,67,862
"25-30",454,6,27,125,33,26,7,86,75,839
"30-35",530,2,29,178,42,14,20,92,78,985
"35-40",688,5,44,272,64,24,14,98,110,1319
"40-45",566,4,24,343,76,18,22,103,86,1242
"45-50",716,6,24,447,94,13,21,95,88,1504
"50-55",942,7,26,691,184,21,37,129,131,2168
"55-60",723,3,14,527,163,14,30,92,92,1658
"60-65",820,8,8,702,245,11,35,140,114,2083
"65-70",740,8,4,785,271,4,38,156,90,2096
"70-75",624,6,4,610,244,1,27,129,46,1691
"75-80",495,8,1,420,161,2,29,129,35,1280
"80-85",292,3,2,223,78,0,10,84,23,715
"85-90",113,4,0,83,14,0,6,34,2,256
"90+",24,1,0,19,4,0,2,7,0,57
"Sum",17565,253,2154,20377,2649,3118,937,2845,3313,53211
